Sender,Sender_ID,ProductionDate,DeliveryDate,ArrivalDate,Load_Port,LoadPort_Term,Disch_Port,DischPort_Term,Units,Cargo_Segment,BrandName,Model,L_m,Width_m,Height_m,Weight,CBM,Booking,GateIn,CreatedBy,Ref
Kia Customer,CKW51D3JJH,,,,Mundra,Mundra,Jakarta,Singapore,2,Car,Kia,Carens,4.45,1.75,1.75,,,BKG-575111,2025-06-07 04:46,user_b,R1857D528Y
Kia Customer,CS8B04A9YZ,2024-03-03,2025-10-05,2025-10-05,Nhava Sheva,Mumbai,Jakarta,Singapore,3,Car,Kia,Sonet,,,,1772,11.58,BKG-949411,,user_a,RJLWXWU1R0
Kia Customer,CXLZE639KW,,2024-03-08,2024-03-08,Nhava Sheva,Terminal-1,Durban,Terminal-1,1,Car,Kia,Sonet,4.99,1.8,1.8,,,BKG-396946,2025-09-15 09:23,user_b,RJVHC4O8NM
Kia Customer,C07Y9T4XY8,2024-12-18,,2024-12-18,Mumbai,Terminal-4,Durban,Singapore,3,SUV,Kia,Sonet,,,,,,BKG-396527,2024-12-06 20:57,user_b,R8KCXHHDAS
Kia Customer,CF96LS9TZJ,2025-10-01,2025-11-25,2025-11-25,Chennai,Mundra,Durban,Terminal-5,2,SUV,Kia,Sonet,,,,1719,12.76,BKG-778351,,system,RRHQ1FNTTU
Kia Customer,CVYEJL0TI4,2024-09-19,2024-01-23,2024-01-23,Nhava Sheva,Mundra,Durban,Antwerp,3,LCV,Kia,Carens,3.81,1.53,1.53,,,BKG-836777,,user_b,R7A0KLL5ZN
Kia Customer,CWXEFJRPD5,,,,Mundra,Nhava Sheva,Jakarta,Singapore,3,Car,Kia,Seltos,3.91,1.48,1.48,,,BKG-940184,,user_b,RDZWACZHZE
Kia Customer,CQIH029NLK,,,,Mundra,Nhava Sheva,Jebel Ali,Terminal-1,4,SUV,Kia,Carens,,,,1755,,BKG-663168,,user_a,R0NW60JSCT
Kia Customer,CGK783NC8M,2025-05-28,,2025-05-28,Nhava Sheva,Nhava Sheva,Antwerp,Jebel Ali,3,LCV,Kia,Sonet,,,,,19.43,BKG-936261,2024-07-22 04:35,system,RJS7YUCF6W
Kia Customer,CSE9DN1NZI,,2024-12-09,2024-12-09,Chennai,Terminal-3,Durban,Antwerp,1,Car,Kia,Sonet,4.66,1.52,1.52,,,BKG-223302,,user_a,RM6EERR7EB
Kia Customer,CVXLCM4Y2W,2025-02-16,,2025-02-16,Nhava Sheva,Mumbai,Colombo,Jakarta,2,LCV,Kia,Carens,4.1,1.64,1.64,1921,,BKG-400118,,user_b,R8MGBC52R3
Kia Customer,C6HT3IE68P,2025-10-26,,2025-10-26,Nhava Sheva,Chennai,Antwerp,Jebel Ali,1,SUV,Kia,Carens,,,,2167,9.54,BKG-165730,2025-01-13 15:34,system,RICHEX7SAO
Kia Customer,CNUHCKXR5S,,,,Mumbai,Nhava Sheva,Colombo,Durban,4,LCV,Kia,Carens,3.77,1.57,1.57,2101,,BKG-230142,,system,RJ7P3OPBL1
Kia Customer,CPH3QVPSKZ,2025-05-16,,2025-05-16,Nhava Sheva,Mundra,Jebel Ali,Jakarta,1,LCV,Kia,Carens,,,,1138,14.29,BKG-585348,2024-08-06 10:17,user_a,RXVWBQ2C6X
Kia Customer,CFGMGWUTNY,2024-09-25,,2024-09-25,Mundra,Mundra,Antwerp,Terminal-2,3,Car,Kia,Seltos,4.01,1.9,1.9,,,BKG-425416,,user_b,RJPF02AEJA
Kia Customer,CZ85DKQBO8,2024-12-14,,2024-12-14,Nhava Sheva,Mundra,Durban,Antwerp,2,Car,Kia,Seltos,,,,1731,,BKG-737911,,user_a,R0B6NWY1MT
Kia Customer,C22YBUR0K8,,,,Nhava Sheva,Mumbai,Jebel Ali,Terminal-1,4,SUV,Kia,Seltos,3.69,1.69,1.69,,,BKG-135150,,system,RCJ2JGB36H
Kia Customer,CW856U0RKT,2025-04-22,,2025-04-22,Nhava Sheva,Mundra,Colombo,Singapore,4,Car,Kia,Sonet,,,,,,BKG-975102,,user_b,R7FHI7FHRB
Kia Customer,CYOJB47ZPO,2024-10-12,,2024-10-12,Mundra,Mumbai,Jebel Ali,Singapore,2,LCV,Kia,Carens,,,,1495,,BKG-541823,,user_a,RRNB84XX9J
Kia Customer,CAL23IQG1O,2025-04-14,2024-02-03,2024-02-03,Mundra,Terminal-4,Durban,Singapore,3,Car,Kia,Sonet,4.64,1.64,1.64,1341,,BKG-059332,,user_a,RV1CRMGVGQ
Kia Customer,CFMTCP2R7D,,,,Nhava Sheva,Chennai,Jebel Ali,Colombo,3,LCV,Kia,Carens,,,,,15.16,BKG-858244,,user_b,RKS02QH4E3
Kia Customer,CBB3RNWYXA,,2024-12-09,2024-12-09,Nhava Sheva,Chennai,Singapore,Singapore,2,SUV,Kia,Seltos,4.11,1.41,1.41,1985,,BKG-826244,2025-08-05 07:37,user_b,RFO0SKUJRO
Kia Customer,C1BQ2S2WMS,2025-06-07,2024-08-07,2024-08-07,Nhava Sheva,Nhava Sheva,Durban,Jebel Ali,1,LCV,Kia,Seltos,,,,1809,16.75,BKG-572627,,user_a,RLERVER2YZ
Kia Customer,CO5G5U6JDZ,2024-02-21,,2024-02-21,Nhava Sheva,Terminal-1,Colombo,Jebel Ali,2,SUV,Kia,Seltos,,,,,9.77,BKG-878254,,user_a,RLFUOK8CYS
Kia Customer,CUDJO7417P,2025-08-10,,2025-08-10,Mundra,Terminal-4,Jakarta,Antwerp,3,SUV,Kia,Seltos,,,,1175,,BKG-695959,,user_a,RCGHJLZ2MD
Kia Customer,CV4FHRQJ6F,,2024-06-07,2024-06-07,Chennai,Terminal-3,Jebel Ali,Durban,4,Car,Kia,Sonet,,,,1403,16.0,BKG-907859,2024-07-27 03:29,system,RBG7T0LSHG
Kia Customer,CHYKIZ8V88,,2025-03-12,2025-03-12,Nhava Sheva,Terminal-2,Antwerp,Jakarta,1,LCV,Kia,Carens,,,,,11.77,BKG-329265,,user_a,RD2T8YFOTU
Kia Customer,CQYP891XSD,,,,Chennai,Terminal-5,Singapore,Jakarta,3,SUV,Kia,Sonet,4.59,1.68,1.68,1355,,BKG-240254,,user_a,RY4CD3LIQA
Kia Customer,C82GQT1KAY,2025-09-12,,2025-09-12,Nhava Sheva,Terminal-4,Colombo,Terminal-3,1,LCV,Kia,Sonet,4.75,1.44,1.44,1920,,BKG-460713,,user_a,R07NJ8A2E3
Kia Customer,CEZT07BVQ4,,2024-04-15,2024-04-15,Nhava Sheva,Nhava Sheva,Colombo,Terminal-1,3,Car,Kia,Sonet,4.02,1.63,1.63,,,BKG-236031,,system,RSXF1GEHW9
Kia Customer,CDV5QIN7ZX,2025-01-08,2025-09-24,2025-09-24,Chennai,Mundra,Jakarta,Terminal-2,4,LCV,Kia,Carens,4.84,1.5,1.5,2097,,BKG-441408,,user_a,R58M1MHJNB
Kia Customer,CSLWEUZ1KH,2025-04-17,2025-12-21,2025-12-21,Mundra,Mundra,Durban,Colombo,1,LCV,Kia,Seltos,4.49,1.67,1.67,1125,,BKG-481959,,user_a,RA2FYRY92H
Kia Customer,CYABZM36WK,2025-05-15,2024-11-24,2024-11-24,Nhava Sheva,Terminal-2,Antwerp,Jakarta,1,SUV,Kia,Seltos,4.9,1.52,1.52,1904,,BKG-174551,,system,R1HBGYB2DP
Kia Customer,CLISYBW6MZ,2025-12-26,2024-12-21,2024-12-21,Mundra,Nhava Sheva,Singapore,Durban,4,Car,Kia,Sonet,,,,1361,,BKG-182865,,user_a,RC7HKHBEDB
Kia Customer,CU5K78Y0WH,2025-10-16,,2025-10-16,Mundra,Terminal-1,Jakarta,Jebel Ali,2,Car,Kia,Carens,4.66,1.83,1.83,,,BKG-650304,2024-06-17 07:04,user_a,R9XED3A27F
Kia Customer,C2YMVL2PJC,2024-01-07,2025-11-22,2025-11-22,Mumbai,Chennai,Colombo,Singapore,4,Car,Kia,Seltos,,,,1817,,BKG-553301,,user_b,RFIRMCLVVA
Kia Customer,CNZIHSQ8LH,2025-10-16,2024-04-01,2024-04-01,Mundra,Terminal-3,Singapore,Jebel Ali,2,Car,Kia,Seltos,4.65,1.85,1.85,,,BKG-933310,,user_b,RZ67YYKL4R
Kia Customer,C9YG0QLWE1,2025-07-16,2025-04-22,2025-04-22,Chennai,Nhava Sheva,Jebel Ali,Singapore,3,Car,Kia,Seltos,,,,1214,11.25,BKG-724509,,system,RV3Q95EPQX
Kia Customer,CP4WG6RPDH,,2025-04-23,2025-04-23,Mundra,Nhava Sheva,Jakarta,Singapore,3,SUV,Kia,Sonet,4.89,1.51,1.51,,,BKG-930957,,user_b,R6U5CKNHP4
Kia Customer,CMPLRPMXYR,,,,Mumbai,Nhava Sheva,Colombo,Terminal-1,4,SUV,Kia,Carens,,,,1259,,BKG-574230,,user_a,RW54OQLFJ8
Kia Customer,CHZ3GNZDFQ,2025-12-10,2025-10-05,2025-10-05,Mumbai,Mumbai,Singapore,Jebel Ali,2,Car,Kia,Sonet,3.57,1.42,1.42,1513,,BKG-172056,2025-12-17 12:56,user_a,RNLZ5KQVQD
Kia Customer,CL5KV4Y4CV,2025-10-09,,2025-10-09,Chennai,Terminal-5,Jakarta,Jakarta,4,LCV,Kia,Seltos,4.92,1.78,1.78,1392,,BKG-609505,,user_b,RQ1EKVIPAT
Kia Customer,CWDX68C4NR,2024-11-25,2025-09-11,2025-09-11,Chennai,Terminal-3,Antwerp,Durban,2,Car,Kia,Sonet,,,,1544,18.44,BKG-020520,,user_a,RJBQPLBNE9
Kia Customer,C69YDYVE13,2025-08-16,2025-01-23,2025-01-23,Chennai,Chennai,Singapore,Colombo,3,SUV,Kia,Carens,4.36,1.82,1.82,1854,,BKG-539476,,system,RO4DNUYJB5
Kia Customer,CNV1VM2HJJ,,,,Chennai,Terminal-4,Jebel Ali,Durban,3,LCV,Kia,Sonet,3.53,1.51,1.51,,,BKG-625474,2025-07-28 16:05,system,RZIRLYFHJF
Kia Customer,CIS1WBSCYG,2025-09-08,2025-03-02,2025-03-02,Mumbai,Mumbai,Durban,Jakarta,3,LCV,Kia,Seltos,4.16,1.84,1.84,1101,,BKG-823658,,user_a,RVR2BKF59V
Kia Customer,C2X8IWDRYH,2024-05-07,,2024-05-07,Mumbai,Terminal-1,Antwerp,Jebel Ali,2,SUV,Kia,Carens,4.45,1.48,1.48,1463,,BKG-764295,2025-05-27 05:48,system,RC54W7RPNK
Kia Customer,CS83JQ1NKW,2024-06-17,,2024-06-17,Mundra,Mundra,Singapore,Jakarta,2,LCV,Kia,Seltos,,,,1017,12.62,BKG-361226,,system,RV3C3K77JJ
Kia Customer,CYQMIJAJND,,2024-11-09,2024-11-09,Mundra,Chennai,Colombo,Terminal-4,3,LCV,Kia,Seltos,3.71,1.82,1.82,1012,,BKG-023375,,user_a,RN55V6J9RU
Kia Customer,CJHHR6E1PE,2025-09-24,2025-05-26,2025-05-26,Mundra,Terminal-2,Antwerp,Jebel Ali,3,Car,Kia,Sonet,,,,1100,19.27,BKG-786202,2024-08-23 14:58,system,RQ6VM3BY4I
Kia Customer,CDAMT8QM76,2025-01-16,,2025-01-16,Chennai,Terminal-2,Durban,Jebel Ali,3,Car,Kia,Seltos,4.89,1.71,1.71,,,BKG-753575,,user_b,RED8WGE3ZI
Kia Customer,CUQDVEAB7U,2024-07-19,2024-07-11,2024-07-11,Chennai,Mundra,Antwerp,Terminal-1,1,LCV,Kia,Sonet,3.5,1.5,1.5,,,BKG-669411,2025-10-25 07:00,system,RLRIUBR6D6
Kia Customer,C94XQFKXM9,,2024-04-24,2024-04-24,Nhava Sheva,Chennai,Jakarta,Jebel Ali,2,Car,Kia,Carens,4.72,1.62,1.62,,,BKG-074534,,system,R5BNKAFPCX
Kia Customer,CH41M4I299,2024-02-04,,2024-02-04,Chennai,Terminal-4,Jakarta,Jebel Ali,3,SUV,Kia,Seltos,,,,,9.65,BKG-582011,,system,RO9RE3DVSB
Kia Customer,CAB2YU7YF9,,2024-08-26,2024-08-26,Chennai,Nhava Sheva,Colombo,Terminal-3,4,SUV,Kia,Sonet,,,,,,BKG-206235,,user_a,RMM04K3HF9
Kia Customer,CPA29MFF0G,2024-11-07,,2024-11-07,Mumbai,Mundra,Colombo,Terminal-2,3,SUV,Kia,Carens,4.8,1.46,1.46,1738,,BKG-653208,,system,RZG42W6HDB
Kia Customer,C8L3JDA0HX,2025-10-16,,2025-10-16,Mumbai,Terminal-1,Singapore,Antwerp,3,SUV,Kia,Carens,4.01,1.68,1.68,,,BKG-969436,,user_b,RU1RE07WXC
Kia Customer,CTCY7SXP27,2025-08-22,2025-05-21,2025-05-21,Mundra,Mumbai,Singapore,Jakarta,1,LCV,Kia,Carens,,,,1877,14.36,BKG-895782,2025-09-08 07:43,user_a,ROCZUVQGPD
Kia Customer,CMCHGUICYA,,2025-07-26,2025-07-26,Mundra,Terminal-3,Durban,Terminal-2,3,Car,Kia,Sonet,,,,,17.56,BKG-624505,,user_b,R01SVB8Q35
Kia Customer,CCQ2IHW922,,2025-04-14,2025-04-14,Nhava Sheva,Mundra,Colombo,Jebel Ali,1,Car,Kia,Carens,4.92,1.71,1.71,1107,,BKG-096984,2025-08-31 22:29,system,RSEWYO0CAD
Kia Customer,CAFF0GO357,2024-01-22,,2024-01-22,Mumbai,Nhava Sheva,Jakarta,Jebel Ali,1,LCV,Kia,Seltos,,,,983,,BKG-975771,,user_a,RW64B9KKC2
Kia Customer,C1677SNPFC,2025-01-25,,2025-01-25,Nhava Sheva,Terminal-2,Antwerp,Terminal-5,4,SUV,Kia,Sonet,,,,1206,,BKG-397917,,user_a,R4JSLQM4L9
Kia Customer,CIXWKP748F,2025-01-18,,2025-01-18,Chennai,Nhava Sheva,Jakarta,Colombo,2,Car,Kia,Seltos,,,,1415,9.7,BKG-274478,2025-06-14 05:11,user_b,RA6WB4KPBU
Kia Customer,C48LVC9B2R,2025-12-27,,2025-12-27,Nhava Sheva,Terminal-5,Antwerp,Terminal-3,3,LCV,Kia,Carens,4.17,1.49,1.49,1064,,BKG-344716,,system,RMJQ0H4S41
Kia Customer,C1TKRKV29Y,,2024-11-24,2024-11-24,Mundra,Nhava Sheva,Jebel Ali,Colombo,1,Car,Kia,Sonet,,,,1255,17.4,BKG-682478,,system,RTT9H9L80H
Kia Customer,CFA2HZTEIW,2024-11-06,2025-09-11,2025-09-11,Nhava Sheva,Mumbai,Durban,Colombo,4,Car,Kia,Carens,3.74,1.78,1.78,1750,,BKG-030937,2025-01-24 04:13,user_a,RIJTET57MU
Kia Customer,CV2E5NB7UD,,,,Mumbai,Mumbai,Durban,Durban,4,Car,Kia,Carens,,,,1646,15.2,BKG-103324,,user_b,RAWG5753PI
Kia Customer,C55RCD48P6,2025-09-03,,2025-09-03,Chennai,Mundra,Colombo,Terminal-3,4,Car,Kia,Carens,,,,1025,8.95,BKG-217878,2025-05-24 09:45,user_b,RTVLLBTXJU
Kia Customer,C6UVG7KMK0,,2025-09-13,2025-09-13,Mundra,Mundra,Durban,Jebel Ali,4,Car,Kia,Sonet,4.0,1.87,1.87,1331,,BKG-184583,,user_b,RMZTNE0V4H
Kia Customer,C07V4GXOH4,2024-05-10,2025-11-01,2025-11-01,Nhava Sheva,Nhava Sheva,Antwerp,Durban,4,Car,Kia,Sonet,,,,1066,,BKG-197141,2024-07-30 11:35,user_a,RFKUGMMULT
Kia Customer,C662K61GPZ,2025-11-28,2025-08-21,2025-08-21,Nhava Sheva,Nhava Sheva,Antwerp,Jakarta,2,Car,Kia,Seltos,3.6,1.74,1.74,1713,,BKG-470515,,user_b,RKXQLLOPEY
Kia Customer,CE0L4OL5KP,2024-04-16,2025-12-01,2025-12-01,Chennai,Mumbai,Durban,Colombo,3,SUV,Kia,Carens,,,,973,,BKG-917153,,user_b,RI9IINELGV
Kia Customer,C32SPXKKLJ,2024-03-04,2025-03-26,2025-03-26,Chennai,Chennai,Jakarta,Durban,4,LCV,Kia,Carens,,,,,,BKG-491888,,system,RSDI15H25Z
Kia Customer,C9G6MQ9PBN,,2024-02-27,2024-02-27,Mundra,Mundra,Antwerp,Singapore,1,Car,Kia,Sonet,,,,1848,16.82,BKG-463871,,user_a,RJDZCYA1JU
Kia Customer,CTYASDWTTV,2024-01-06,,2024-01-06,Chennai,Mundra,Durban,Jakarta,2,LCV,Kia,Seltos,,,,1551,,BKG-816460,,user_b,R8QNPAS8PP
Kia Customer,CIS69OP2C8,2025-06-14,,2025-06-14,Chennai,Nhava Sheva,Singapore,Terminal-5,2,Car,Kia,Carens,,,,1527,12.94,BKG-219764,2024-12-18 10:39,user_a,RPNDSEP5WM
Kia Customer,CGGD08KIMG,2024-09-14,2025-07-01,2025-07-01,Mundra,Mumbai,Colombo,Terminal-4,4,SUV,Kia,Carens,,,,,9.32,BKG-462632,2025-06-11 15:13,system,R166S78KB2
Kia Customer,CTXLPUP0T2,2025-01-23,2025-01-17,2025-01-17,Mundra,Terminal-1,Jebel Ali,Antwerp,3,LCV,Kia,Seltos,,,,1035,8.78,BKG-288972,,system,RP13E09WQ4
Kia Customer,CI9PYQLD56,2024-08-29,,2024-08-29,Mundra,Mumbai,Durban,Jebel Ali,1,LCV,Kia,Carens,3.74,1.42,1.42,2021,,BKG-179292,,user_a,R0SRY7RY73
Kia Customer,CM4SJSSZXQ,,,,Mundra,Terminal-4,Singapore,Terminal-4,4,Car,Kia,Carens,,,,1713,8.13,BKG-080962,2025-09-18 01:59,user_b,RZ72WUMA48
Kia Customer,C89UKAI77L,,2025-03-11,2025-03-11,Chennai,Terminal-2,Antwerp,Jakarta,2,Car,Kia,Carens,4.6,1.47,1.47,1910,,BKG-793082,2025-07-30 09:38,user_a,RPI91PY9T2
Kia Customer,COF1QRF87H,2025-03-10,2025-07-09,2025-07-09,Mundra,Mumbai,Durban,Jebel Ali,1,SUV,Kia,Sonet,3.75,1.64,1.64,,,BKG-799663,,system,R9C56B1UBB
Kia Customer,C520HH3FC5,,2024-09-14,2024-09-14,Nhava Sheva,Terminal-5,Colombo,Antwerp,1,SUV,Kia,Seltos,,,,,19.72,BKG-748679,,system,RBDE6TEZ66
Kia Customer,CJC57V3WPX,2024-08-18,,2024-08-18,Mundra,Chennai,Colombo,Jakarta,3,SUV,Kia,Seltos,,,,1904,,BKG-493694,,system,RPN1QY8ECV
Kia Customer,CWAGP510LG,,,,Mundra,Mundra,Durban,Singapore,4,LCV,Kia,Sonet,4.41,1.59,1.59,1002,,BKG-609949,,user_b,RVX4OX3KXR
Kia Customer,CAYQN92T2K,2025-02-16,2025-05-28,2025-05-28,Nhava Sheva,Terminal-2,Durban,Antwerp,4,SUV,Kia,Sonet,4.55,1.76,1.76,1189,,BKG-291119,,system,REPLI20AK6
Kia Customer,CXPG3JPA9F,,2025-08-06,2025-08-06,Mumbai,Terminal-1,Durban,Singapore,4,SUV,Kia,Seltos,,,,,,BKG-145586,,user_b,R1IHHQPST2
Kia Customer,C8D9M0IB3W,,,,Chennai,Nhava Sheva,Colombo,Jakarta,3,Car,Kia,Sonet,4.29,1.46,1.46,1430,,BKG-160929,,system,R7G620COFZ
Kia Customer,C8YIVC99BX,2025-03-30,2025-07-05,2025-07-05,Nhava Sheva,Terminal-5,Singapore,Colombo,1,SUV,Kia,Sonet,3.78,1.43,1.43,1727,,BKG-240491,2025-12-27 07:15,user_a,R9YRODT2DT
Kia Customer,CJOHTRFOZL,,,,Mumbai,Mundra,Jakarta,Durban,2,LCV,Kia,Seltos,3.62,1.55,1.55,1719,,BKG-665805,,user_a,R67U29X5LA
Kia Customer,CVNIK2INKU,2024-08-16,2024-12-19,2024-12-19,Mumbai,Nhava Sheva,Jakarta,Jakarta,4,SUV,Kia,Carens,,,,1635,,BKG-116397,2024-11-27 07:15,system,RFAQNC4429
Kia Customer,CXYEP6C15R,,2025-07-21,2025-07-21,Mumbai,Mumbai,Singapore,Jebel Ali,3,SUV,Kia,Sonet,4.34,1.75,1.75,1553,,BKG-599256,,user_a,RL7MHEK99L
Kia Customer,CTLVVBA0YP,2024-08-01,2024-02-23,2024-02-23,Mundra,Nhava Sheva,Colombo,Singapore,1,LCV,Kia,Seltos,4.66,1.73,1.73,1823,,BKG-785408,,user_a,R39YUV3FJE
Kia Customer,CTCFSBNB70,2025-10-19,,2025-10-19,Mumbai,Mundra,Durban,Antwerp,3,LCV,Kia,Seltos,4.64,1.6,1.6,,,BKG-953655,2024-01-16 19:55,user_b,R73MLC16X7
Kia Customer,COAXLW5M4E,2024-02-18,,2024-02-18,Chennai,Mumbai,Colombo,Singapore,4,SUV,Kia,Sonet,3.96,1.57,1.57,,,BKG-888030,,user_b,RNQLTU3RZI
Kia Customer,CLFY1U7N4V,2024-02-12,2025-12-22,2025-12-22,Mumbai,Chennai,Antwerp,Durban,3,Car,Kia,Seltos,,,,1311,11.2,BKG-261185,2025-10-25 13:48,system,RRGWT282A6
Kia Customer,CLHH5SJFNL,,2024-01-14,2024-01-14,Nhava Sheva,Mundra,Durban,Colombo,3,LCV,Kia,Seltos,,,,,,BKG-003569,,user_b,REQN664JY9
Kia Customer,C5EY4948JO,,,,Mundra,Mumbai,Durban,Jebel Ali,4,SUV,Kia,Carens,4.34,1.64,1.64,1460,,BKG-413452,,system,R1WOR2PMWM
Kia Customer,CPJ4WDXDNF,2024-07-04,2024-07-07,2024-07-07,Chennai,Mumbai,Antwerp,Terminal-3,2,Car,Kia,Sonet,3.91,1.8,1.8,,,BKG-036093,2024-04-21 14:57,system,RRKGL9UGGG
Kia Customer,CSM897JHHZ,,,,Mundra,Mumbai,Singapore,Singapore,3,Car,Kia,Sonet,4.07,1.89,1.89,,,BKG-814547,,user_a,RRU4NSIKFE
Kia Customer,C7SPLJCP1Y,2024-04-16,,2024-04-16,Mumbai,Mumbai,Durban,Jebel Ali,2,Car,Kia,Sonet,,,,2198,12.0,BKG-498083,2025-03-21 21:06,user_b,R89MRGP8J0
Kia Customer,CNXXKMLMK4,2025-05-13,2024-04-23,2024-04-23,Mundra,Chennai,Jebel Ali,Jakarta,2,SUV,Kia,Carens,,,,,15.55,BKG-594540,,user_b,RJ6SC3LFQG
Kia Customer,CMIXNAM0YW,2025-01-29,2024-10-09,2024-10-09,Mumbai,Chennai,Durban,Jebel Ali,4,Car,Kia,Sonet,,,,,,BKG-719124,,system,RJH7NBVJIH
Kia Customer,CQGKNHX3VK,,,,Nhava Sheva,Chennai,Durban,Jakarta,4,Car,Kia,Carens,4.74,1.53,1.53,1321,,BKG-487062,,user_a,RDCWDHNLBX
Kia Customer,CGGJMQ6GXL,2025-10-23,2025-08-11,2025-08-11,Mundra,Terminal-5,Singapore,Colombo,1,LCV,Kia,Carens,3.93,1.61,1.61,,,BKG-483564,,system,RF43YWLPTP
Kia Customer,CI1ZSMH12G,2024-03-14,,2024-03-14,Mundra,Mumbai,Jebel Ali,Colombo,3,SUV,Kia,Seltos,4.66,1.44,1.44,,,BKG-257245,2025-12-10 04:23,user_a,R5HWGMI1GC
Kia Customer,C80X30F0Q8,,,,Nhava Sheva,Chennai,Durban,Jebel Ali,1,Car,Kia,Sonet,,,,,19.82,BKG-881872,,system,RG4PSEFMJJ
Kia Customer,CDXJEWR5RS,,2024-07-26,2024-07-26,Mumbai,Nhava Sheva,Jakarta,Durban,1,Car,Kia,Sonet,3.85,1.77,1.77,1161,,BKG-151973,,user_a,RVBGN0ZD54
Kia Customer,C0P2WAGHPA,,2025-04-09,2025-04-09,Chennai,Nhava Sheva,Singapore,Antwerp,1,LCV,Kia,Carens,3.87,1.67,1.67,1625,,BKG-706499,,user_b,RSDUX5WK86
Kia Customer,CE4L1667HH,,2025-01-05,2025-01-05,Chennai,Nhava Sheva,Singapore,Jakarta,4,SUV,Kia,Sonet,3.76,1.44,1.44,,,BKG-589357,2024-04-01 12:10,system,RZYM4DZJQ2
Kia Customer,C7Y91QUB7T,,2025-11-09,2025-11-09,Mundra,Mumbai,Singapore,Terminal-5,3,Car,Kia,Seltos,4.69,1.44,1.44,1596,,BKG-210571,2024-12-19 22:55,system,RPX116DBJX
Kia Customer,CMXZYRJFVO,2024-03-02,,2024-03-02,Chennai,Nhava Sheva,Jebel Ali,Terminal-3,4,Car,Kia,Carens,,,,1518,17.58,BKG-322582,2025-02-11 00:54,system,RJTDKWEY7Z
Kia Customer,CXDF21O752,2024-04-10,,2024-04-10,Mumbai,Mumbai,Durban,Singapore,4,LCV,Kia,Carens,4.01,1.63,1.63,,,BKG-766398,,system,RQXIPE46IV
